age,word
12,book
12,ball
12,bye bye
12.5,dad
13.5,cat
14,baby
14.5,socks/shoes
14.5,dog (animal)
15,banana
15,llama
15.5,cheese
15.5,turkey
15.5,beep
16,shoes
16,berry
16,hi
16,diaper
16,teeth
16,uhoh
16.5,monkey
16.5,apple
16.5,box
16.5,bubble
16.5,mmmm
16.5,stick
16.5,sticker
17,hello
17,oh no
17,night-night
17,fish
17,lion
17.5,bear
17.5,go
17.5,jacket
18,milk/drink
18,car
18,dinosaur
18,tea
18,google
18,hat
18,cookie
18.5,cleanup
18.5,that
18.5,wow
18.5,peekaboo
18.5,trash
18.5,elephant
18.5,[eating sound]
18.5,poop
18.5,nose
18.5,bag
18.5,gentle
19,grandpa
19,more
19,snack/food
19,mama
19,cow
19,no
19,bee
19,done
19,hippo
19,gentle
19,owl
19,thank you
19,racoon
19,Jonah
19,belly
19,cracker
19,bib
19,wash
19.5,mouth
19.5,peacock
19.5,wash
19.5,keys
19.5,broccoli
19.5,yeah
19.5,tree
19.5,rabbit
19.5,tissue
19.5,pig
19.5,bird
19.5,zebra
19.5,house
19.5,paper
19.5,help
19.5,down
19.5,slide
19.5,open
19.5,yay
19.5,sleep sack
19.5,couch
19.5,chicken
19.5,carrot
19.5,cheers
19.5,avocado
19.5,hug
20,coffee
20,cup
20,stroller
20,yellow
20,yogurt
20,zebra
20,high five
20,(fist) bump
20,bread
20,pear
20,cereal
20,squirrel
20,pancake
20,cheek
20,sheep
20,bamba
20,laundry
20,toes
20,cheers
20,egg
20,color
20,chair
20,orange (fruit)
20,ear
20,exercise
20.5,agua
20.5,hide
20.5,shark
20.5,pasta
20.5,outside
20.5,circle
20.5,eat
20.5,up
20.5,girl
20.5,horse
20.5,flower
20.5,spider
20.5,bumblebee
20.5,shirt
20.5,dip
20.5,do it
20.5,away
20.5,penguin
20.5,bus
20.5,pants
20.5,cactus
20.5,hand
21,octopus
21,too
21,grandma
21,spoon
21,toy
21,lap
21,plate
21,tray
21,orange (color)
21,here
21,school
21,kiwi
21,watermelon
21,big
21,butterfly
21,little
21,boat
21,fork
21,feet
21,goose
21,drink
21,towel
21,rail
21,rock
21,jumping
21,glasses
21,grape
21,throw
21,walk
21,hair
21.5,(wrist) watch
21.5,blanket
21.5,face
21.5,light
21.5,train
21.5,towel
21.5,plane
21.5,people
21.5,frog
21.5,soap
21.5,mirror
21.5,read
21.5,wheel
21.5,roll (v)
21.5,bless you
21.5,hot
21.5,green
21.5,red
21.5,balloon
21.5,clap
21.5,taco
21.5,sweep
21.5,robot
21.5,shopping
21.5,tail
21.5,home
21.5,footloose
21.5,kitchen
21.5,leaf
21.5,table
21.5,boy
21.5,this
21.5,turn
21.5,get
22,shower
22,peanut butter
22,lemon
22,button
22,spaghetti
22,back
22,olive
22,ice cream
22,rice
22,pee
22,(finger) nail
22,picture
22,computer
22,guitar
22,skateboard
22,alligator
22,stop
22,piece
22,duckie
22,mail
22,tortilla
22,breakfast
22,chili
22,tower
22,tent
22,brush
22,page
22,kiss
22,park
22,umbrella
22,pull
22,purple
22,pillow
22,out
22,pink
22,catch
22,tomato
22,shut
22.5,hyena
22.5,running
22.5,potty
22.5,penis
22.5,stairs
22.5,oatmeal
22.5,pepper (vegetable)
22.5,animal
22.5,art
22.5,mine
22.5,lip
22.5,bless you
22.5,snake
22.5,zuchinni
22.5,woof
22.5,pocket
22.5,meow
22.5,oink
22.5,roar
22.5,moo
22.5,castle
22.5,crab
22.5,star
22.5,alright
22.5,snail
22.5,(guitar) pick
22.5,phone
22.5,swim
22.5,white
22.5,coaster
22.5,[gorilla sound]
22.5,neigh
22.5,baa
22.5,button
22.5,nurse
22.5,sun
22.5,panda
22.5,change
22.5,cooking
22.5,belly button
22.5,polar bear
22.5,see
22.5,leopard
22.5,goat
22.5,sound
22.5,soft
22.5,cry
22.5,floor
23,heart
23,empty
23,the end
23,finger
23,black
23,xylophone
23,cough
23,window
23,marker
23,drum
23,music
23,spatula
23,wet
23,broken
23,move
23,clip
23,bed
23,pepper (spice)
23,vacuum
23,friend
23,dolphin
23,count
23,noodle
23,green bean
23,blueberry
23,bike
23,puzzle
23,climb
23,that way
23,bug
23,basket
23,magnet
23,kale
23,time
23,tv
23,sheet
23,got it
23,shoulder
23,elbow
23,family
23,camera
23,thumb
23,swing
23,ride
